iter	Passed	Remaining
781	1907	531
782	1910	529
783	1912	526
784	1915	524
785	1917	522
786	1920	519
787	1922	517
788	1925	514
789	1927	512
790	1930	510
791	1933	507
792	1935	505
793	1938	503
794	1942	500
795	1944	498
796	1947	495
797	1949	493
798	1952	491
799	1955	488
800	1958	486
801	1961	484
802	1963	481
803	1966	479
804	1970	477
805	1972	474
806	1975	472
807	1977	469
808	1980	467
809	1983	465
810	1985	462
811	1988	460
812	1991	457
813	1993	455
814	1996	453
815	1998	450
816	2001	448
817	2004	445
818	2007	443
819	2017	442
820	2019	440
821	2022	438
822	2026	435
823	2030	433
824	2034	431
825	2038	429
826	2041	427
827	2044	424
828	2046	422
829	2050	419
830	2053	417
831	2056	415
832	2059	412
833	2062	410
834	2065	408
835	2068	405
836	2071	403
837	2075	401
838	2078	398
839	2081	396
840	2083	393
841	2086	391
842	2089	389
843	2091	386
844	2094	384
845	2096	381
846	2099	379
847	2101	376
848	2104	374
849	2107	371
850	2109	369
851	2112	366
852	2114	364
853	2117	361
854	2119	359
855	2122	357
856	2124	354
857	2127	352
858	2129	349
859	2132	347
860	2135	344
861	2138	342
862	2141	339
863	2143	337
864	2146	334
865	2148	332
866	2151	330
867	2155	327
868	2157	325
869	2161	322
870	2163	320
871	2166	317
872	2168	315
873	2171	313
874	2174	310
875	2176	308
876	2178	305
877	2181	303
878	2183	300
879	2186	298
880	2188	295
881	2191	293
882	2194	290
883	2197	288
884	2200	285
885	2202	283
886	2204	280
887	2208	278
888	2210	275
889	2213	273
890	2215	271
891	2218	268
892	2221	266
893	2223	263
894	2227	261
895	2229	258
896	2232	256
897	2234	253
898	2237	251
899	2240	248
900	2243	246
901	2246	244
902	2248	241
903	2252	239
904	2255	236
905	2257	234
906	2260	231
907	2263	229
908	2265	226
909	2268	224
910	2270	221
911	2273	219
912	2276	216
913	2278	214
914	2281	211
915	2283	209
916	2286	206
917	2289	204
918	2291	202
919	2294	199
920	2297	197
921	2300	194
922	2302	192
923	2305	189
924	2308	187
925	2310	184
926	2314	182
927	2316	179
928	2320	177
929	2323	174
930	2326	172
931	2329	169
932	2333	167
933	2336	165
934	2338	162
935	2341	160
936	2345	157
937	2348	155
938	2351	152
939	2353	150
940	2356	147
941	2360	145
942	2363	142
943	2365	140
944	2368	137
945	2371	135
946	2374	132
947	2377	130
948	2380	127
949	2383	125
